Age,Gender,Education Level,Job Title,Years of Experience,Salary
44,Female,PhD,Product Manager,2,82500
63,Female,Master's,HR Specialist,29,90450
31,Male,Bachelor's,Product Manager,5,46250
53,Female,Master's,Project Manager,23,86450
64,Female,PhD,Marketing Manager,36,123200
51,Female,Bachelor's,Data Analyst,7,47700
60,Male,Master's,HR Specialist,13,73650
52,Female,Master's,HR Specialist,10,70500
39,Male,PhD,Data Scientist,36,126800
57,Female,Master's,Marketing Manager,16,79200
23,Female,Bachelor's,UX Designer,15,57250
35,Male,PhD,UX Designer,19,101850
34,Female,PhD,Sales Executive,21,103100
50,Male,Bachelor's,Systems Engineer,35,81300
33,Female,PhD,Project Manager,15,97250
60,Male,Master's,Software Engineer,14,76800
23,Female,Master's,Software Engineer,29,94800
53,Female,PhD,Sales Executive,5,85500
34,Female,Bachelor's,Data Analyst,18,59800
48,Male,Master's,Software Engineer,1,61200
62,Male,Bachelor's,UX Designer,27,71050
38,Male,Master's,Product Manager,27,93750
61,Female,Master's,Systems Engineer,25,89500
52,Male,PhD,Marketing Manager,21,105200
55,Male,PhD,UX Designer,14,96100
45,Male,Bachelor's,Data Scientist,20,66000
56,Male,PhD,Marketing Manager,28,113600
27,Male,Master's,Software Engineer,21,85200
40,Male,Master's,Data Scientist,23,89900
51,Male,Bachelor's,Marketing Manager,11,53200
28,Male,Bachelor's,HR Specialist,2,42100
31,Male,Master's,Project Manager,20,83000
62,Male,PhD,UX Designer,24,107600
53,Female,PhD,Data Scientist,25,112500
55,Female,Bachelor's,Sales Executive,37,80700
49,Male,Bachelor's,Project Manager,22,65300
36,Female,Master's,Marketing Manager,24,88800
51,Female,Master's,Data Analyst,15,76500
58,Male,Bachelor's,Sales Executive,12,53200
50,Male,Master's,UX Designer,31,95650
43,Male,Bachelor's,HR Specialist,31,72550
25,Female,Bachelor's,Data Scientist,30,79000
41,Male,PhD,Product Manager,20,105000
53,Female,Bachelor's,Data Scientist,8,50400
57,Male,Master's,Project Manager,30,94500
25,Female,PhD,Data Scientist,35,125500
48,Female,PhD,Project Manager,21,104150
38,Male,Master's,Sales Executive,28,90800
33,Male,Master's,Data Scientist,39,110700
43,Female,Master's,Sales Executive,17,78700
38,Female,Bachelor's,HR Specialist,12,52600
31,Male,PhD,HR Specialist,18,98900
22,Male,Bachelor's,Project Manager,28,72200
43,Female,Bachelor's,Marketing Manager,3,43600
47,Male,Bachelor's,HR Specialist,15,55750
39,Female,Bachelor's,Systems Engineer,16,58880
35,Male,PhD,Data Scientist,22,108600
50,Male,PhD,Systems Engineer,31,116580
33,Male,Bachelor's,Data Scientist,31,80300
57,Female,Master's,Software Engineer,1,61200
56,Male,PhD,Sales Executive,11,92100
33,Female,Bachelor's,Project Manager,6,46900
28,Male,Master's,UX Designer,23,86450
50,Female,Master's,UX Designer,9,70350
32,Female,Bachelor's,Data Analyst,16,57600
54,Male,PhD,Marketing Manager,38,125600
27,Female,Master's,Project Manager,19,81850
36,Female,PhD,HR Specialist,13,93650
53,Female,PhD,Product Manager,32,120000
32,Female,Master's,Marketing Manager,36,103200
44,Male,Bachelor's,Marketing Manager,9,50800
47,Male,Master's,Product Manager,37,106250
55,Male,Master's,Sales Executive,31,94100
55,Female,PhD,Marketing Manager,31,117200
50,Female,Bachelor's,Software Engineer,19,62800
25,Male,PhD,Marketing Manager,2,82400
38,Male,Master's,Data Analyst,32,95200
56,Female,Bachelor's,Systems Engineer,34,80120
34,Male,Bachelor's,UX Designer,1,41150
62,Male,Bachelor's,Sales Executive,21,63100
60,Female,Bachelor's,Project Manager,3,43450
36,Male,Bachelor's,HR Specialist,27,68350
50,Female,Master's,Software Engineer,7,68400
50,Male,Master's,Sales Executive,33,96300
32,Female,Master's,Systems Engineer,9,70620
53,Female,PhD,Data Analyst,30,113000
23,Female,Bachelor's,Systems Engineer,18,61240
35,Female,Bachelor's,Project Manager,26,69900
41,Female,Master's,Product Manager,20,85000
43,Male,Bachelor's,HR Specialist,38,79900
32,Male,PhD,Product Manager,31,118750
48,Male,Bachelor's,Data Scientist,8,50400
24,Female,Bachelor's,Data Analyst,23,65300
38,Male,PhD,HR Specialist,25,106250
49,Female,Master's,Project Manager,1,61150
50,Female,Master's,Sales Executive,18,79800
42,Male,Bachelor's,UX Designer,19,61850
37,Female,PhD,HR Specialist,6,86300
58,Male,Master's,Sales Executive,17,78700
41,Female,Master's,Sales Executive,8,68800
27,Female,Master's,Data Scientist,9,71700
40,Male,Bachelor's,Software Engineer,37,84400
26,Female,PhD,Data Analyst,27,109700
24,Male,Bachelor's,Data Analyst,36,79600
22,Female,Master's,Data Scientist,6,67800
59,Male,PhD,Product Manager,6,87500
36,Female,Bachelor's,Product Manager,4,45000
55,Male,Master's,Project Manager,22,85300
56,Male,Master's,Software Engineer,27,92400
46,Female,Bachelor's,Sales Executive,37,80700
45,Male,Master's,Marketing Manager,2,62400
33,Female,Master's,Marketing Manager,9,70800
39,Female,PhD,Product Manager,11,93750
36,Male,Master's,Data Scientist,20,86000
37,Male,Bachelor's,Software Engineer,39,86800
48,Male,PhD,Systems Engineer,14,96520
29,Male,Bachelor's,UX Designer,26,69900
46,Male,Master's,Software Engineer,38,105600
38,Female,PhD,Project Manager,30,114500
50,Male,PhD,Sales Executive,36,119600
29,Female,PhD,Sales Executive,38,121800
36,Male,PhD,Data Analyst,35,118500
48,Male,Bachelor's,HR Specialist,6,46300
28,Male,Master's,HR Specialist,3,63150
24,Female,Master's,Data Analyst,1,61100
50,Male,PhD,Project Manager,18,100700
45,Female,Master's,Sales Executive,23,85300
24,Female,Bachelor's,HR Specialist,32,73600
41,Female,Master's,HR Specialist,29,90450
36,Male,Bachelor's,UX Designer,23,66450
46,Female,Bachelor's,HR Specialist,36,77800
51,Male,Master's,Sales Executive,6,66600
35,Female,Bachelor's,Project Manager,17,59550
28,Male,Bachelor's,Systems Engineer,18,61240
38,Female,Bachelor's,Product Manager,31,78750
41,Male,Bachelor's,Software Engineer,6,47200
57,Male,PhD,Data Scientist,34,124200
30,Male,Master's,Marketing Manager,27,92400
59,Female,PhD,Software Engineer,36,123200
43,Female,Bachelor's,UX Designer,25,68750
23,Male,Master's,HR Specialist,10,70500
45,Female,Bachelor's,Project Manager,39,84850
29,Female,Master's,Systems Engineer,39,106020
32,Female,PhD,Marketing Manager,12,94400
34,Female,Master's,Data Analyst,11,72100
38,Female,Bachelor's,Systems Engineer,3,43540
29,Female,Master's,Product Manager,22,87500
42,Female,Master's,HR Specialist,4,64200
39,Male,PhD,Data Scientist,8,90400
51,Male,Bachelor's,Marketing Manager,14,56800
39,Female,Master's,HR Specialist,20,81000
52,Male,PhD,Marketing Manager,24,108800
59,Male,Master's,Data Scientist,14,78200
53,Male,Bachelor's,Product Manager,28,75000
32,Female,Master's,Data Analyst,16,77600
46,Female,Master's,Sales Executive,32,95200
54,Female,Master's,Project Manager,12,73800
59,Female,Master's,Systems Engineer,16,78880
62,Female,Bachelor's,Software Engineer,19,62800
29,Male,PhD,Data Analyst,5,85500
32,Female,PhD,Data Analyst,12,93200
43,Male,Master's,UX Designer,29,93350
45,Female,Bachelor's,Marketing Manager,5,46000
62,Male,Bachelor's,Marketing Manager,17,60400
38,Female,Bachelor's,UX Designer,8,49200
33,Female,Bachelor's,Systems Engineer,30,75400
53,Female,Bachelor's,Marketing Manager,10,52000
36,Female,Bachelor's,Sales Executive,20,62000
37,Female,Master's,Project Manager,16,78400
43,Female,PhD,Software Engineer,16,99200
49,Male,PhD,Software Engineer,3,83600
41,Female,Master's,Data Scientist,23,89900
54,Male,PhD,Data Scientist,22,108600
31,Female,Bachelor's,Project Manager,28,72200
61,Male,Bachelor's,HR Specialist,36,77800
53,Male,PhD,HR Specialist,4,84200
54,Male,Bachelor's,Data Analyst,38,81800
23,Male,Bachelor's,Data Analyst,24,66400
54,Male,PhD,UX Designer,19,101850
54,Male,Master's,Product Manager,11,73750
62,Female,PhD,Data Scientist,39,130700
34,Male,PhD,Product Manager,18,102500
51,Female,PhD,Marketing Manager,12,94400
54,Female,PhD,Software Engineer,14,96800
34,Male,Master's,Data Analyst,18,79800
47,Male,Master's,HR Specialist,12,72600
43,Female,Bachelor's,Project Manager,27,71050
60,Male,Bachelor's,Data Scientist,6,47800
23,Male,PhD,Software Engineer,24,108800
59,Male,Bachelor's,Systems Engineer,33,78940
60,Male,Master's,Project Manager,16,78400
47,Male,Bachelor's,Product Manager,12,55000
36,Male,Bachelor's,Sales Executive,31,74100
55,Male,Bachelor's,Product Manager,37,86250
63,Female,PhD,Data Scientist,13,96900
61,Male,Bachelor's,Project Manager,8,49200
32,Female,Master's,Sales Executive,38,101800
24,Female,Master's,Marketing Manager,3,63600
27,Female,Master's,Systems Engineer,20,83600
30,Female,Master's,Product Manager,4,65000
27,Male,Bachelor's,Systems Engineer,2,42360
30,Female,PhD,Project Manager,36,121400
60,Female,Master's,Software Engineer,23,87600
52,Female,Master's,Project Manager,19,81850
53,Female,PhD,HR Specialist,8,88400
62,Female,PhD,Sales Executive,16,97600
33,Male,Master's,Software Engineer,18,81600
29,Male,Master's,Product Manager,36,105000
29,Female,PhD,Marketing Manager,24,108800
49,Male,Master's,Systems Engineer,1,61180
41,Male,Master's,Project Manager,1,61150
28,Female,Bachelor's,UX Designer,36,81400
32,Female,PhD,Data Scientist,11,94300
41,Female,Bachelor's,Product Manager,18,62500
37,Male,Bachelor's,Data Scientist,16,60800
25,Female,PhD,Software Engineer,17,100400
27,Male,Bachelor's,HR Specialist,24,65200
43,Male,Master's,Product Manager,34,102500
47,Male,Bachelor's,HR Specialist,4,44200
24,Female,PhD,HR Specialist,35,116750
62,Male,Master's,Marketing Manager,15,78000
63,Female,Master's,Software Engineer,2,62400
35,Female,Master's,Project Manager,31,95650
32,Female,Master's,UX Designer,9,70350
39,Female,Bachelor's,Sales Executive,10,51000
33,Female,Bachelor's,HR Specialist,25,66250
44,Male,Master's,Software Engineer,5,66000
33,Male,PhD,Marketing Manager,14,96800
34,Male,Master's,Product Manager,38,107500
46,Male,Bachelor's,Data Analyst,2,42200
40,Male,Master's,Data Analyst,18,79800
57,Female,Bachelor's,UX Designer,29,73350
29,Female,Master's,Marketing Manager,20,84000
50,Male,PhD,Software Engineer,8,89600
53,Male,Master's,Marketing Manager,37,104400
39,Male,PhD,Sales Executive,26,108600
27,Female,PhD,Sales Executive,37,120700
39,Female,Master's,Project Manager,4,64600
40,Female,PhD,Data Analyst,33,116300
43,Male,PhD,Data Analyst,22,104200
58,Male,Bachelor's,Sales Executive,6,46600
53,Male,Bachelor's,Marketing Manager,33,79600
62,Male,PhD,UX Designer,28,112200
24,Female,Master's,UX Designer,24,87600
49,Male,PhD,HR Specialist,4,84200
31,Male,Master's,Product Manager,2,62500
56,Male,Bachelor's,Data Analyst,13,54300
50,Female,Master's,Sales Executive,11,72100
36,Female,PhD,Marketing Manager,35,122000
54,Male,PhD,Software Engineer,39,126800
28,Female,PhD,Product Manager,10,92500
33,Female,PhD,UX Designer,10,91500
51,Female,PhD,Data Scientist,8,90400
42,Female,Master's,Data Scientist,5,66500
52,Female,PhD,Marketing Manager,23,107600
45,Male,Bachelor's,Systems Engineer,34,80120
41,Male,PhD,Systems Engineer,32,117760
58,Male,Master's,Data Analyst,16,77600
25,Female,PhD,Software Engineer,4,84800
49,Female,PhD,HR Specialist,28,109400
41,Female,Master's,Marketing Manager,14,76800
45,Female,PhD,Data Scientist,12,95600
53,Male,Master's,Data Scientist,21,87300
62,Male,PhD,Software Engineer,16,99200
57,Male,Bachelor's,Data Analyst,2,42200
55,Male,PhD,Systems Engineer,23,107140
57,Male,Master's,Project Manager,29,93350
23,Male,Bachelor's,Data Analyst,9,49900
36,Female,Master's,Data Analyst,7,67700
55,Female,PhD,UX Designer,29,113350
57,Male,Bachelor's,HR Specialist,17,57850
27,Female,Master's,HR Specialist,9,69450
60,Male,Bachelor's,Data Scientist,6,47800
63,Male,Bachelor's,HR Specialist,20,61000
33,Female,Master's,Data Scientist,10,73000
24,Male,Bachelor's,Data Analyst,9,49900
39,Male,Master's,Software Engineer,12,74400
61,Male,Bachelor's,Project Manager,33,77950
42,Female,Bachelor's,Software Engineer,32,78400
36,Female,Bachelor's,Data Analyst,34,77400
54,Female,PhD,Sales Executive,19,100900
56,Female,PhD,Marketing Manager,33,119600
47,Male,Master's,Systems Engineer,16,78880
29,Female,Bachelor's,Marketing Manager,23,67600
57,Female,Master's,Project Manager,26,89900
51,Female,PhD,HR Specialist,37,118850
44,Male,PhD,Marketing Manager,9,90800
63,Female,PhD,HR Specialist,30,111500
35,Female,PhD,Data Analyst,13,94300
35,Male,Master's,Project Manager,16,78400
23,Male,Bachelor's,UX Designer,2,42300
58,Male,Master's,Systems Engineer,31,96580
26,Male,Bachelor's,Systems Engineer,19,62420
59,Female,PhD,Sales Executive,11,92100
62,Male,Bachelor's,UX Designer,14,56100
35,Female,PhD,Data Scientist,25,112500
60,Female,Master's,Systems Engineer,7,68260
46,Female,Bachelor's,Product Manager,15,58750
41,Female,Master's,Data Scientist,30,99000
23,Female,PhD,Systems Engineer,31,116580
60,Male,Master's,Data Analyst,24,86400
27,Female,PhD,Project Manager,25,108750
38,Female,PhD,Project Manager,8,89200
46,Female,PhD,Product Manager,30,117500
49,Male,Master's,Data Analyst,36,99600
23,Female,Master's,Product Manager,14,77500
56,Female,Bachelor's,HR Specialist,29,70450
58,Male,Bachelor's,Software Engineer,27,72400
26,Female,Master's,Systems Engineer,36,102480
22,Female,Master's,Data Analyst,34,97400
61,Male,Master's,Software Engineer,21,85200
33,Female,Master's,Software Engineer,38,105600
57,Female,PhD,Project Manager,11,92650
44,Female,PhD,Project Manager,33,117950
52,Female,PhD,UX Designer,15,97250
32,Female,Master's,HR Specialist,12,72600
31,Male,PhD,Data Analyst,24,106400
24,Male,PhD,Sales Executive,37,120700
35,Male,Bachelor's,Data Analyst,11,52100
37,Female,Bachelor's,HR Specialist,19,59950
31,Female,PhD,Project Manager,1,81150
50,Female,PhD,Project Manager,17,99550
31,Male,PhD,Systems Engineer,16,98880
33,Female,Master's,Marketing Manager,26,91200
51,Female,Bachelor's,Project Manager,15,57250
62,Female,Bachelor's,Product Manager,8,50000
22,Male,Bachelor's,Systems Engineer,30,75400
26,Male,PhD,Data Scientist,14,98200
41,Female,Master's,Marketing Manager,33,99600
29,Female,Bachelor's,Marketing Manager,7,48400
64,Female,Bachelor's,Product Manager,18,62500
33,Male,Master's,Marketing Manager,12,74400
22,Male,PhD,Sales Executive,2,82200
41,Male,PhD,Project Manager,29,113350
49,Female,Bachelor's,Project Manager,21,64150
64,Male,Bachelor's,Systems Engineer,7,48260
58,Female,Master's,HR Specialist,27,88350
58,Female,Bachelor's,Product Manager,12,55000
33,Male,Master's,Project Manager,20,83000
58,Female,Bachelor's,Software Engineer,14,56800
49,Male,Bachelor's,UX Designer,10,51500
36,Female,Bachelor's,Project Manager,23,66450
27,Female,PhD,Data Analyst,30,113000
41,Male,Master's,Software Engineer,31,97200
35,Female,Master's,HR Specialist,10,70500
23,Female,PhD,Software Engineer,19,102800
30,Female,PhD,Marketing Manager,19,102800
58,Female,PhD,UX Designer,23,106450
41,Female,Master's,Data Scientist,32,101600
47,Female,Bachelor's,UX Designer,20,63000
50,Female,PhD,Project Manager,4,84600
22,Female,PhD,Systems Engineer,33,118940
56,Male,PhD,Sales Executive,1,81100
27,Male,Bachelor's,HR Specialist,13,53650
58,Female,Bachelor's,Systems Engineer,3,43540
26,Female,PhD,Project Manager,12,93800
54,Male,Bachelor's,Systems Engineer,29,74220
35,Female,PhD,Data Analyst,31,114100
33,Male,Bachelor's,Software Engineer,36,83200
63,Male,Master's,Sales Executive,2,62200
41,Male,Master's,Project Manager,22,85300
45,Female,Bachelor's,Marketing Manager,22,66400
64,Female,Master's,HR Specialist,31,92550
55,Female,Master's,Marketing Manager,14,76800
46,Male,Master's,Software Engineer,29,94800
50,Male,PhD,Sales Executive,35,118500
60,Male,Bachelor's,Software Engineer,9,50800
52,Female,Bachelor's,Product Manager,32,80000
64,Male,Bachelor's,Marketing Manager,27,72400
44,Male,Master's,Software Engineer,10,72000
59,Female,PhD,Software Engineer,25,110000
41,Male,Bachelor's,Systems Engineer,33,78940
44,Male,Master's,Project Manager,11,72650
37,Female,PhD,Systems Engineer,37,123660
63,Female,PhD,Product Manager,9,91250
29,Male,Bachelor's,UX Designer,7,48050
42,Female,Bachelor's,UX Designer,7,48050
22,Male,Master's,Systems Engineer,34,100120
29,Female,Bachelor's,Data Scientist,19,64700
50,Male,Master's,Marketing Manager,20,84000
53,Female,PhD,Systems Engineer,25,109500
59,Male,PhD,Data Analyst,5,85500
26,Female,PhD,Data Analyst,29,111900
43,Female,PhD,HR Specialist,27,108350
55,Female,Bachelor's,Product Manager,25,71250
22,Female,Bachelor's,Product Manager,37,86250
47,Female,Master's,Systems Engineer,15,77700
64,Female,Master's,Sales Executive,4,64400
31,Female,Master's,Software Engineer,14,76800
51,Male,Master's,Project Manager,17,79550
39,Male,Master's,Software Engineer,21,85200
38,Female,PhD,Software Engineer,16,99200
47,Female,PhD,Product Manager,26,112500
29,Male,PhD,Product Manager,9,91250
61,Male,Master's,Data Analyst,2,62200
33,Female,PhD,Product Manager,15,98750
48,Male,PhD,Systems Engineer,35,121300
29,Male,PhD,Data Analyst,24,106400
46,Female,PhD,Marketing Manager,38,125600
25,Female,Bachelor's,Software Engineer,14,56800
54,Female,Master's,Marketing Manager,37,104400
22,Male,Master's,Software Engineer,37,104400
40,Female,Bachelor's,Software Engineer,6,47200
52,Female,PhD,HR Specialist,18,98900
37,Male,PhD,Software Engineer,22,106400
35,Female,PhD,Sales Executive,18,99800
26,Male,Master's,Marketing Manager,2,62400
62,Male,Master's,Software Engineer,32,98400
47,Male,Master's,Data Scientist,17,82100
49,Male,Master's,Data Scientist,1,61300
23,Male,Master's,Data Scientist,9,71700
27,Male,Bachelor's,Systems Engineer,13,55340
30,Female,Master's,Data Analyst,36,99600
54,Female,PhD,Marketing Manager,37,124400
62,Female,Master's,Software Engineer,30,96000
46,Male,Bachelor's,UX Designer,31,75650
34,Female,PhD,Data Analyst,23,105300
30,Male,Bachelor's,UX Designer,28,72200
34,Female,PhD,Project Manager,10,91500
52,Male,Master's,Sales Executive,25,87500
62,Female,Bachelor's,Project Manager,36,81400
32,Male,PhD,Product Manager,26,112500
25,Female,Master's,Data Analyst,26,88600
55,Male,PhD,UX Designer,13,94950
59,Female,Bachelor's,HR Specialist,17,57850
25,Male,Bachelor's,Software Engineer,4,44800
59,Female,Bachelor's,Systems Engineer,23,67140
40,Female,Bachelor's,Marketing Manager,35,82000
27,Female,Master's,Software Engineer,11,73200
55,Male,PhD,Marketing Manager,12,94400
39,Male,Master's,HR Specialist,9,69450
34,Male,Bachelor's,Software Engineer,15,58000
62,Male,PhD,Sales Executive,37,120700
44,Male,Bachelor's,Product Manager,5,46250
40,Female,Master's,Data Scientist,19,84700
32,Male,Master's,HR Specialist,11,71550
22,Female,Master's,Product Manager,9,71250
45,Female,PhD,Software Engineer,35,122000
28,Male,PhD,UX Designer,27,111050
46,Female,Bachelor's,Product Manager,13,56250
42,Male,PhD,Systems Engineer,12,94160
36,Male,PhD,Product Manager,9,91250
22,Male,Master's,Project Manager,28,92200
33,Female,Bachelor's,Sales Executive,13,54300
28,Male,Master's,HR Specialist,20,81000
36,Male,Bachelor's,Data Scientist,13,56900
42,Male,Bachelor's,Software Engineer,27,72400
40,Female,PhD,HR Specialist,26,107300
50,Male,Master's,Data Analyst,29,91900
46,Female,PhD,HR Specialist,29,110450
54,Female,PhD,Systems Engineer,22,105960
53,Male,PhD,HR Specialist,9,89450
56,Female,Bachelor's,Data Analyst,24,66400
59,Female,Master's,Product Manager,19,83750
47,Male,Master's,Project Manager,38,103700
32,Male,PhD,Product Manager,31,118750
56,Male,Bachelor's,Product Manager,39,88750
29,Female,Master's,Data Analyst,15,76500
35,Male,Master's,Marketing Manager,32,98400
31,Female,PhD,Data Scientist,29,117700
23,Female,Bachelor's,Data Analyst,34,77400
30,Female,PhD,Product Manager,9,91250
24,Female,Master's,HR Specialist,35,96750
42,Female,Bachelor's,Data Scientist,6,47800
47,Male,PhD,Software Engineer,37,124400
29,Male,Master's,UX Designer,14,76100
23,Female,PhD,Software Engineer,9,90800
27,Female,PhD,Systems Engineer,19,102420
49,Male,PhD,Product Manager,23,108750
50,Male,Bachelor's,HR Specialist,28,69400
47,Female,Master's,Marketing Manager,16,79200
46,Female,Master's,Project Manager,26,89900
33,Male,Master's,Project Manager,38,103700
26,Male,Master's,Data Scientist,25,92500
55,Female,Bachelor's,Marketing Manager,35,82000
58,Male,PhD,UX Designer,5,85750
36,Male,Master's,Software Engineer,7,68400
57,Female,Bachelor's,UX Designer,23,66450
36,Female,PhD,Sales Executive,25,107500
64,Female,Bachelor's,Software Engineer,1,41200
44,Male,Bachelor's,Software Engineer,22,66400
27,Female,Master's,Software Engineer,4,64800
64,Male,Master's,HR Specialist,28,89400
42,Female,PhD,Data Analyst,14,95400
44,Female,PhD,HR Specialist,33,114650
64,Male,Master's,Project Manager,4,64600
37,Male,Bachelor's,HR Specialist,11,51550
36,Female,Master's,UX Designer,39,104850
46,Female,PhD,HR Specialist,32,113600
57,Male,Bachelor's,Data Analyst,4,44400
32,Female,Bachelor's,Data Scientist,1,41300
36,Male,Bachelor's,Marketing Manager,26,71200
25,Male,Master's,Data Scientist,33,102900
42,Female,Master's,Sales Executive,17,78700
34,Male,PhD,Project Manager,27,111050
43,Male,Bachelor's,Sales Executive,5,45500
40,Male,Bachelor's,Sales Executive,7,47700
55,Female,Master's,Marketing Manager,25,90000
35,Male,PhD,Marketing Manager,8,89600
25,Female,PhD,Data Analyst,34,117400
48,Female,Bachelor's,Data Analyst,4,44400
50,Female,Master's,Data Scientist,12,75600
49,Male,Bachelor's,Data Analyst,31,74100
56,Male,Master's,Data Analyst,11,72100
29,Female,PhD,Systems Engineer,37,123660
37,Female,Bachelor's,Product Manager,36,85000
63,Male,Bachelor's,Data Scientist,22,68600
57,Female,Bachelor's,Marketing Manager,1,41200
51,Female,PhD,Data Scientist,4,85200
39,Male,Bachelor's,Marketing Manager,36,83200
23,Female,PhD,HR Specialist,8,88400
34,Male,Master's,Product Manager,25,91250
25,Male,PhD,Systems Engineer,28,113040
47,Female,Master's,Systems Engineer,38,104840
46,Male,PhD,UX Designer,36,121400
51,Male,PhD,Project Manager,36,121400
32,Male,Bachelor's,Marketing Manager,4,44800
28,Female,PhD,Project Manager,13,94950
52,Female,Bachelor's,HR Specialist,38,79900
31,Female,Master's,Systems Engineer,25,89500
60,Male,Master's,HR Specialist,3,63150
34,Male,Bachelor's,Sales Executive,32,75200
52,Female,Master's,Product Manager,39,108750
28,Female,PhD,UX Designer,1,81150
63,Male,Bachelor's,HR Specialist,11,51550
63,Female,Bachelor's,UX Designer,2,42300
57,Female,Bachelor's,Product Manager,5,46250
41,Female,Master's,Data Scientist,22,88600
25,Female,Master's,HR Specialist,13,73650
28,Female,PhD,Data Analyst,23,105300
22,Male,PhD,Software Engineer,31,117200
63,Female,Bachelor's,Systems Engineer,35,81300
34,Female,PhD,Systems Engineer,38,124840
43,Male,Master's,Systems Engineer,35,101300
42,Male,PhD,Data Scientist,13,96900
43,Male,Master's,Software Engineer,7,68400
49,Male,PhD,Product Manager,5,86250
30,Female,Master's,Data Scientist,29,97700
47,Female,Master's,Systems Engineer,8,69440
30,Female,PhD,Systems Engineer,8,89440
36,Female,PhD,Project Manager,7,88050
31,Male,Master's,UX Designer,19,81850
45,Male,Bachelor's,UX Designer,39,84850
63,Female,PhD,Project Manager,23,106450
29,Female,Master's,Sales Executive,36,99600
45,Female,PhD,Project Manager,32,116800
37,Female,PhD,UX Designer,4,84600
47,Male,PhD,Systems Engineer,30,115400
48,Female,PhD,Data Analyst,39,122900
58,Male,PhD,UX Designer,5,85750
25,Male,Bachelor's,Software Engineer,3,43600
45,Male,Bachelor's,Data Analyst,22,64200
40,Male,Bachelor's,Data Scientist,28,76400
57,Female,Master's,UX Designer,22,85300
60,Female,Bachelor's,Product Manager,22,67500
31,Female,Bachelor's,HR Specialist,34,75700
46,Female,Master's,HR Specialist,29,90450
39,Male,Bachelor's,Software Engineer,13,55600
40,Male,PhD,Marketing Manager,7,88400
57,Male,Bachelor's,HR Specialist,10,50500
31,Female,Bachelor's,Software Engineer,28,73600
54,Male,Bachelor's,Marketing Manager,4,44800
26,Male,PhD,Data Scientist,32,121600
56,Male,PhD,Marketing Manager,22,106400
55,Male,PhD,Product Manager,20,105000
54,Female,PhD,UX Designer,20,103000
42,Male,Master's,HR Specialist,6,66300
38,Male,PhD,Systems Engineer,9,90620
43,Female,PhD,Project Manager,28,112200
58,Female,PhD,UX Designer,13,94950
36,Female,PhD,Data Scientist,31,120300
56,Male,Master's,Data Scientist,39,110700
49,Male,Bachelor's,Software Engineer,14,56800
28,Male,Bachelor's,Sales Executive,22,64200
53,Male,PhD,Marketing Manager,37,124400
32,Female,PhD,Marketing Manager,24,108800
31,Male,PhD,Software Engineer,8,89600
30,Male,Bachelor's,Project Manager,15,57250
35,Female,Bachelor's,Systems Engineer,6,47080
34,Female,PhD,Data Scientist,23,109900
46,Female,Bachelor's,UX Designer,25,68750
23,Male,Master's,Project Manager,31,95650
56,Male,PhD,Systems Engineer,29,114220
28,Male,PhD,Sales Executive,23,105300
42,Male,Master's,UX Designer,10,71500
39,Male,Master's,Software Engineer,9,70800
24,Female,Bachelor's,UX Designer,13,54950
63,Female,Master's,Product Manager,32,100000
60,Male,PhD,Sales Executive,1,81100
62,Male,Bachelor's,Software Engineer,1,41200
32,Male,Master's,Software Engineer,37,104400
60,Male,Bachelor's,Software Engineer,18,61600
45,Male,Bachelor's,HR Specialist,36,77800
40,Female,Bachelor's,Project Manager,31,75650
25,Female,Bachelor's,Systems Engineer,1,41180
47,Female,Master's,Marketing Manager,36,103200
59,Male,PhD,Data Scientist,9,91700
63,Male,PhD,Data Scientist,22,108600
53,Female,Master's,Product Manager,28,95000
60,Female,PhD,Product Manager,26,112500
57,Male,Bachelor's,Product Manager,10,52500
61,Female,Bachelor's,Data Analyst,3,43300
58,Female,Bachelor's,Product Manager,2,42500
54,Male,Master's,Data Scientist,37,108100
57,Female,Bachelor's,Sales Executive,31,74100
24,Female,Bachelor's,Systems Engineer,33,78940
30,Female,Master's,Product Manager,32,100000
29,Male,Bachelor's,Sales Executive,12,53200
54,Female,Bachelor's,Data Analyst,3,43300
27,Female,PhD,Data Analyst,26,108600
62,Female,Master's,Marketing Manager,14,76800
60,Male,Bachelor's,HR Specialist,12,52600
25,Male,Bachelor's,HR Specialist,26,67300
34,Female,Bachelor's,UX Designer,16,58400
23,Male,Bachelor's,HR Specialist,8,48400
26,Female,PhD,UX Designer,28,112200
48,Male,PhD,Project Manager,7,88050
53,Male,PhD,HR Specialist,15,95750
42,Female,PhD,Data Analyst,36,119600
29,Female,Master's,Marketing Manager,8,69600
59,Female,Bachelor's,Sales Executive,10,51000
29,Male,PhD,Product Manager,15,98750
24,Female,Bachelor's,HR Specialist,18,58900
24,Male,Master's,UX Designer,37,102550
43,Male,Bachelor's,Sales Executive,35,78500
27,Female,Bachelor's,Software Engineer,2,42400
23,Male,PhD,Data Scientist,22,108600
44,Female,PhD,HR Specialist,15,95750
23,Male,Master's,Data Scientist,37,108100
59,Female,Bachelor's,HR Specialist,39,80950
38,Male,PhD,Software Engineer,36,123200
56,Male,PhD,Product Manager,5,86250
55,Female,PhD,Project Manager,15,97250
44,Male,Master's,Systems Engineer,27,91860
51,Female,Bachelor's,Sales Executive,16,57600
29,Male,PhD,Sales Executive,36,119600
43,Male,Bachelor's,Product Manager,38,87500
