Age,Gender,Education Level,Job Title,Years of Experience,Salary
44,Female,PhD,Product Manager,17,101250
35,Male,Master's,Data Analyst,12,73200
48,Female,Bachelor's,UX Designer,20,63000
50,Male,PhD,Systems Engineer,39,126020
60,Female,Master's,Systems Engineer,27,91860
60,Male,PhD,Sales Executive,37,120700
22,Female,PhD,Data Analyst,20,102000
38,Male,Bachelor's,Project Manager,11,52650
62,Male,Bachelor's,Project Manager,28,72200
51,Male,PhD,Product Manager,2,82500
34,Male,Bachelor's,Data Scientist,24,71200
42,Male,Bachelor's,Marketing Manager,16,59200
40,Male,Master's,UX Designer,12,73800
40,Female,Master's,Sales Executive,16,77600
46,Female,PhD,UX Designer,36,121400
43,Female,PhD,Sales Executive,2,82200
52,Female,PhD,Project Manager,25,108750
38,Male,PhD,Sales Executive,29,111900
44,Female,Master's,Data Analyst,28,90800
53,Male,Bachelor's,Data Scientist,10,53000
31,Male,Master's,Product Manager,23,88750
31,Male,PhD,Software Engineer,32,118400
57,Female,PhD,Project Manager,31,115650
29,Male,Master's,Software Engineer,19,82800
41,Female,Master's,Software Engineer,15,78000
53,Female,PhD,HR Specialist,33,114650
35,Female,Bachelor's,Data Scientist,17,62100
49,Female,PhD,Marketing Manager,36,123200
45,Female,Master's,Systems Engineer,20,83600
36,Male,PhD,Data Analyst,9,89900
43,Male,PhD,Sales Executive,38,121800
51,Female,Bachelor's,UX Designer,3,43450
25,Male,PhD,Marketing Manager,2,82400
34,Female,PhD,UX Designer,18,100700
44,Male,PhD,Product Manager,23,108750
29,Male,Master's,Product Manager,19,83750
39,Male,Master's,Data Analyst,7,67700
33,Male,Bachelor's,Sales Executive,35,78500
52,Male,PhD,Sales Executive,20,102000
35,Male,Master's,Project Manager,20,83000
55,Male,Bachelor's,Sales Executive,19,60900
39,Male,PhD,Systems Engineer,16,98880
55,Male,Bachelor's,Marketing Manager,38,85600
32,Male,Bachelor's,Marketing Manager,21,65200
62,Male,Bachelor's,UX Designer,29,73350
33,Male,Bachelor's,HR Specialist,38,79900
36,Male,Bachelor's,Data Analyst,24,66400
52,Female,Bachelor's,Data Analyst,37,80700
50,Male,Bachelor's,Systems Engineer,29,74220
47,Male,PhD,Sales Executive,31,114100
39,Male,PhD,HR Specialist,39,120950
53,Male,Bachelor's,Project Manager,12,53800
43,Male,PhD,Project Manager,30,114500
59,Male,Bachelor's,Marketing Manager,4,44800
38,Female,PhD,Systems Engineer,30,115400
44,Female,Master's,Software Engineer,5,66000
45,Female,Bachelor's,Software Engineer,16,59200
29,Male,Master's,Sales Executive,27,89700
62,Male,Bachelor's,Marketing Manager,4,44800
27,Male,Bachelor's,Systems Engineer,8,49440
26,Female,Master's,Software Engineer,8,69600
50,Male,Master's,Data Scientist,17,82100
49,Male,Master's,UX Designer,3,63450
32,Female,Bachelor's,Product Manager,27,73750
22,Female,Master's,UX Designer,34,99100
64,Male,Master's,Product Manager,21,86250
40,Male,PhD,Data Scientist,24,111200
30,Male,PhD,Data Scientist,29,117700
48,Male,Master's,Systems Engineer,39,106020
55,Female,Master's,HR Specialist,6,66300
25,Male,Master's,Data Analyst,14,75400
57,Male,Master's,Software Engineer,14,76800
39,Female,PhD,Systems Engineer,37,123660
36,Male,Bachelor's,HR Specialist,24,65200
34,Male,Master's,Data Analyst,13,74300
40,Female,Master's,Systems Engineer,1,61180
27,Female,PhD,Sales Executive,12,93200
33,Male,Master's,Data Analyst,24,86400
58,Female,Master's,UX Designer,37,102550
38,Female,PhD,Data Analyst,20,102000
44,Male,Master's,UX Designer,6,66900
47,Female,Master's,Project Manager,12,73800
50,Male,PhD,Product Manager,21,106250
54,Male,Bachelor's,UX Designer,3,43450
48,Male,Master's,Data Scientist,27,95100
46,Male,Master's,Sales Executive,36,99600
31,Female,Bachelor's,Software Engineer,17,60400
44,Male,PhD,Project Manager,15,97250
42,Male,Bachelor's,Project Manager,39,84850
42,Male,Master's,Marketing Manager,4,64800
64,Male,Bachelor's,Systems Engineer,17,60060
34,Female,PhD,Systems Engineer,38,124840
58,Female,Master's,Systems Engineer,11,72980
54,Female,PhD,Data Analyst,12,93200
45,Male,PhD,Software Engineer,32,118400
32,Female,Bachelor's,Product Manager,27,73750
38,Female,Bachelor's,UX Designer,27,71050
25,Male,PhD,Systems Engineer,29,114220
46,Female,PhD,Project Manager,9,90350
51,Male,Master's,UX Designer,3,63450
30,Female,PhD,Software Engineer,39,126800
42,Female,PhD,Project Manager,29,113350
41,Female,Bachelor's,Data Scientist,21,67300
40,Female,PhD,Software Engineer,35,122000
40,Male,PhD,Data Analyst,10,91000
33,Male,Bachelor's,Systems Engineer,23,67140
58,Female,Master's,HR Specialist,39,100950
63,Male,Bachelor's,Sales Executive,25,67500
38,Female,Bachelor's,Project Manager,24,67600
58,Female,PhD,Marketing Manager,20,104000
60,Female,PhD,Marketing Manager,15,98000
49,Female,Master's,Sales Executive,21,83100
62,Female,PhD,Product Manager,12,95000
56,Female,Master's,Product Manager,18,82500
39,Male,Master's,Sales Executive,23,85300
35,Male,Master's,HR Specialist,29,90450
56,Female,Master's,Data Analyst,36,99600
62,Male,PhD,Software Engineer,5,86000
28,Female,Bachelor's,HR Specialist,39,80950
62,Male,Bachelor's,UX Designer,26,69900
34,Male,PhD,Systems Engineer,39,126020
39,Male,PhD,Product Manager,11,93750
58,Female,Master's,Project Manager,11,72650
34,Male,PhD,Product Manager,18,102500
57,Female,Bachelor's,Marketing Manager,12,54400
52,Female,PhD,Project Manager,16,98400
23,Female,PhD,UX Designer,27,111050
37,Male,Master's,UX Designer,36,101400
30,Male,Master's,Systems Engineer,17,80060
30,Male,Master's,Data Scientist,21,87300
59,Female,Master's,Marketing Manager,37,104400
32,Female,Bachelor's,Sales Executive,31,74100
43,Male,PhD,Product Manager,35,123750
54,Female,PhD,Systems Engineer,27,111860
57,Male,Master's,Systems Engineer,23,87140
44,Male,Bachelor's,Data Scientist,32,81600
55,Male,Bachelor's,UX Designer,17,59550
30,Male,PhD,Marketing Manager,11,93200
45,Female,Master's,Project Manager,1,61150
29,Male,PhD,Marketing Manager,28,113600
28,Male,PhD,Marketing Manager,18,101600
57,Male,Bachelor's,Product Manager,20,65000
39,Male,Bachelor's,Project Manager,7,48050
24,Male,PhD,HR Specialist,37,118850
49,Male,Master's,Project Manager,16,78400
27,Male,Master's,Systems Engineer,39,106020
42,Female,PhD,Data Scientist,23,109900
49,Female,PhD,Marketing Manager,32,118400
61,Female,Master's,Project Manager,17,79550
22,Female,Master's,Systems Engineer,19,82420
57,Male,Master's,Software Engineer,34,100800
42,Female,PhD,UX Designer,14,96100
64,Female,Bachelor's,Data Scientist,3,43900
56,Female,Master's,Data Analyst,39,102900
34,Male,Master's,Sales Executive,25,87500
31,Female,Master's,Systems Engineer,11,72980
31,Female,PhD,Marketing Manager,15,98000
34,Male,Bachelor's,Data Scientist,19,64700
58,Female,Bachelor's,UX Designer,15,57250
59,Male,Master's,Project Manager,15,77250
45,Female,PhD,Software Engineer,38,125600
23,Male,Bachelor's,Data Analyst,15,56500
43,Female,PhD,UX Designer,9,90350
38,Female,Bachelor's,Software Engineer,5,46000
57,Female,Master's,Sales Executive,19,80900
35,Male,PhD,Data Scientist,24,111200
31,Female,Master's,HR Specialist,29,90450
56,Male,Bachelor's,Product Manager,5,46250
46,Male,Bachelor's,Data Scientist,22,68600
24,Male,Master's,Data Analyst,13,74300
59,Male,Bachelor's,HR Specialist,29,70450
38,Female,Master's,HR Specialist,16,76800
33,Female,Master's,Sales Executive,36,99600
45,Female,Master's,Product Manager,17,81250
50,Male,Bachelor's,HR Specialist,20,61000
64,Female,PhD,Systems Engineer,14,96520
46,Male,Master's,UX Designer,6,66900
57,Male,PhD,HR Specialist,22,103100
47,Male,Bachelor's,HR Specialist,9,49450
59,Female,Bachelor's,UX Designer,32,76800
22,Female,PhD,Project Manager,24,107600
41,Male,Master's,Sales Executive,33,96300
49,Female,Bachelor's,HR Specialist,13,53650
37,Female,Master's,HR Specialist,35,96750
38,Male,Master's,Product Manager,6,67500
61,Male,PhD,Software Engineer,30,116000
49,Female,Bachelor's,Project Manager,38,83700
33,Male,PhD,Marketing Manager,16,99200
48,Male,Bachelor's,Project Manager,1,41150
63,Female,PhD,UX Designer,18,100700
51,Female,Bachelor's,Product Manager,22,67500
62,Male,Bachelor's,Sales Executive,26,68600
55,Female,Bachelor's,Data Scientist,14,58200
58,Male,Master's,Product Manager,37,106250
27,Male,Master's,Data Analyst,14,75400
28,Female,PhD,UX Designer,26,109900
53,Male,PhD,Software Engineer,36,123200
53,Male,Bachelor's,Data Analyst,23,65300
46,Male,Bachelor's,Data Analyst,2,42200
54,Female,Master's,Sales Executive,39,102900
28,Female,Master's,Marketing Manager,7,68400
33,Female,Master's,Data Scientist,39,110700
37,Male,PhD,HR Specialist,22,103100
37,Male,Master's,Systems Engineer,28,93040
64,Female,PhD,HR Specialist,38,119900
57,Female,Master's,Data Analyst,20,82000
34,Female,Master's,Project Manager,18,80700
28,Male,Bachelor's,Systems Engineer,24,68320
57,Female,PhD,Sales Executive,33,116300
30,Male,Master's,Data Scientist,26,93800
53,Female,Bachelor's,Sales Executive,19,60900
32,Male,PhD,UX Designer,13,94950
29,Male,PhD,Software Engineer,10,92000
54,Female,Master's,Data Analyst,14,75400
44,Male,PhD,Project Manager,9,90350
46,Female,Bachelor's,Sales Executive,11,52100
29,Male,Bachelor's,Systems Engineer,3,43540
43,Male,PhD,Data Analyst,12,93200
25,Female,Bachelor's,Data Scientist,35,85500
61,Male,PhD,Project Manager,39,124850
24,Female,Bachelor's,Marketing Manager,39,86800
50,Female,PhD,Marketing Manager,32,118400
62,Female,PhD,Systems Engineer,39,126020
50,Male,PhD,Software Engineer,14,96800
55,Male,Bachelor's,Marketing Manager,1,41200
55,Male,PhD,Data Analyst,27,109700
49,Female,PhD,Data Scientist,37,128100
34,Female,Master's,Software Engineer,1,61200
36,Male,Master's,HR Specialist,29,90450
44,Male,PhD,Data Scientist,24,111200
47,Female,Master's,Data Analyst,17,78700
25,Male,PhD,Data Analyst,35,118500
47,Female,Master's,UX Designer,31,95650
61,Male,Bachelor's,Software Engineer,32,78400
30,Female,Bachelor's,Data Scientist,19,64700
26,Male,PhD,Software Engineer,31,117200
53,Male,PhD,Systems Engineer,39,126020
41,Female,Bachelor's,Product Manager,20,65000
32,Female,Bachelor's,Software Engineer,28,73600
36,Female,Master's,Marketing Manager,3,63600
53,Male,PhD,Data Analyst,32,115200
49,Female,Bachelor's,UX Designer,22,65300
43,Female,Bachelor's,HR Specialist,15,55750
62,Male,PhD,UX Designer,38,123700
38,Female,Master's,Data Scientist,19,84700
47,Female,Master's,Systems Engineer,31,96580
28,Female,Master's,Systems Engineer,26,90680
63,Male,Master's,HR Specialist,5,65250
47,Male,Bachelor's,Software Engineer,20,64000
46,Male,PhD,Software Engineer,2,82400
31,Female,PhD,Data Scientist,21,107300
40,Male,Bachelor's,Data Scientist,36,86800
32,Female,Bachelor's,Project Manager,28,72200
34,Female,Bachelor's,Software Engineer,20,64000
29,Female,PhD,Data Scientist,37,128100
61,Male,PhD,Systems Engineer,39,126020
25,Male,PhD,Product Manager,36,125000
52,Female,Master's,Data Analyst,11,72100
49,Female,Bachelor's,Software Engineer,3,43600
32,Male,Bachelor's,Project Manager,37,82550
64,Male,Bachelor's,Data Analyst,20,62000
22,Male,PhD,Marketing Manager,32,118400
59,Female,Bachelor's,Product Manager,25,71250
45,Male,Bachelor's,UX Designer,21,64150
52,Male,Master's,Software Engineer,16,79200
62,Male,PhD,UX Designer,1,81150
47,Female,Bachelor's,Project Manager,23,66450
26,Male,PhD,Software Engineer,24,108800
41,Female,PhD,Project Manager,25,108750
62,Female,PhD,Sales Executive,7,87700
32,Female,Master's,Project Manager,38,103700
54,Male,PhD,Data Scientist,39,130700
59,Male,PhD,Data Scientist,35,125500
48,Male,PhD,UX Designer,14,96100
55,Female,Bachelor's,Sales Executive,9,49900
36,Male,Master's,Project Manager,3,63450
53,Female,Bachelor's,Marketing Manager,38,85600
42,Male,Master's,UX Designer,20,83000
26,Male,Master's,Data Analyst,33,96300
27,Male,PhD,Data Scientist,32,121600
59,Male,PhD,Data Analyst,36,119600
43,Female,Bachelor's,Data Analyst,26,68600
39,Female,Master's,Sales Executive,5,65500
35,Female,PhD,UX Designer,30,114500
31,Female,PhD,Systems Engineer,17,100060
34,Male,PhD,UX Designer,6,86900
52,Female,PhD,Systems Engineer,15,97700
51,Female,Bachelor's,Project Manager,1,41150
24,Female,Bachelor's,Systems Engineer,13,55340
51,Male,PhD,Software Engineer,34,120800
27,Female,PhD,Project Manager,30,114500
50,Female,PhD,Systems Engineer,19,102420
29,Male,PhD,Marketing Manager,2,82400
64,Male,PhD,Data Analyst,12,93200
54,Female,Master's,Project Manager,24,87600
38,Female,Master's,Data Analyst,11,72100
32,Male,Master's,HR Specialist,2,62100
34,Female,Master's,UX Designer,1,61150
32,Male,PhD,Systems Engineer,28,113040
52,Female,Master's,Data Analyst,4,64400
49,Female,Master's,Systems Engineer,30,95400
27,Female,Bachelor's,Data Analyst,7,47700
62,Female,Master's,Marketing Manager,22,86400
37,Female,Master's,Product Manager,26,92500
25,Male,PhD,Marketing Manager,29,114800
56,Male,Master's,Data Scientist,25,92500
47,Female,Master's,Systems Engineer,10,71800
33,Female,PhD,Marketing Manager,20,104000
32,Female,Master's,Software Engineer,14,76800
58,Male,PhD,Systems Engineer,33,118940
46,Male,Master's,Sales Executive,5,65500
39,Male,Bachelor's,UX Designer,6,46900
40,Male,Bachelor's,UX Designer,22,65300
44,Male,Master's,Data Scientist,17,82100
59,Male,Bachelor's,Software Engineer,15,58000
39,Male,PhD,Data Scientist,39,130700
47,Male,Master's,Project Manager,28,92200
27,Female,PhD,Systems Engineer,2,82360
25,Male,Bachelor's,Software Engineer,18,61600
50,Male,PhD,HR Specialist,27,108350
55,Male,Bachelor's,Data Analyst,21,63100
38,Male,Bachelor's,Sales Executive,23,65300
64,Female,Bachelor's,Systems Engineer,7,48260
64,Male,PhD,Sales Executive,19,100900
37,Female,Bachelor's,Software Engineer,9,50800
23,Female,Master's,Data Analyst,12,73200
55,Female,Bachelor's,Data Scientist,30,79000
29,Male,Master's,Systems Engineer,7,68260
34,Male,Master's,Data Analyst,2,62200
63,Male,Master's,Sales Executive,17,78700
29,Female,Master's,Product Manager,11,73750
51,Female,PhD,Software Engineer,12,94400
53,Female,Master's,Software Engineer,3,63600
57,Female,Bachelor's,Sales Executive,21,63100
51,Male,Master's,Sales Executive,14,75400
22,Male,Bachelor's,Project Manager,15,57250
64,Male,PhD,Data Scientist,10,93000
60,Female,Master's,Sales Executive,36,99600
38,Female,Bachelor's,Marketing Manager,10,52000
41,Male,PhD,UX Designer,17,99550
45,Male,PhD,UX Designer,25,108750
43,Female,Bachelor's,Systems Engineer,27,71860
50,Male,Master's,HR Specialist,33,94650
43,Male,PhD,Systems Engineer,11,92980
30,Female,Bachelor's,Project Manager,13,54950
58,Female,Master's,Data Analyst,1,61100
31,Female,PhD,HR Specialist,31,112550
57,Male,Bachelor's,Data Analyst,33,76300
58,Female,PhD,UX Designer,21,104150
49,Male,PhD,UX Designer,16,98400
49,Male,Bachelor's,UX Designer,39,84850
63,Female,PhD,Sales Executive,23,105300
64,Male,Bachelor's,Project Manager,10,51500
42,Female,Master's,Marketing Manager,33,99600
45,Female,Bachelor's,Systems Engineer,22,65960
63,Male,Master's,Data Analyst,6,66600
61,Male,PhD,Product Manager,36,125000
23,Female,Bachelor's,Systems Engineer,10,51800
29,Female,Bachelor's,Software Engineer,16,59200
48,Female,Bachelor's,Data Scientist,13,56900
43,Female,Bachelor's,HR Specialist,20,61000
58,Female,Master's,Data Analyst,4,64400
48,Female,Master's,Project Manager,20,83000
50,Male,PhD,UX Designer,22,105300
24,Male,PhD,Software Engineer,29,114800
34,Male,PhD,Data Scientist,16,100800
31,Male,PhD,Data Analyst,23,105300
57,Female,Bachelor's,Marketing Manager,30,76000
30,Male,Master's,UX Designer,30,94500
48,Male,Master's,Data Analyst,3,63300
55,Female,Master's,Product Manager,24,90000
22,Male,Master's,Product Manager,37,106250
53,Female,PhD,Project Manager,13,94950
46,Female,Bachelor's,Product Manager,32,80000
50,Female,Master's,Marketing Manager,37,104400
28,Female,Bachelor's,Project Manager,12,53800
24,Female,Bachelor's,HR Specialist,8,48400
41,Male,Bachelor's,Marketing Manager,24,68800
41,Male,Bachelor's,Project Manager,16,58400
51,Male,Master's,Marketing Manager,32,98400
56,Female,Master's,Product Manager,34,102500
56,Male,Master's,HR Specialist,35,96750
60,Male,PhD,Marketing Manager,32,118400
48,Male,Master's,HR Specialist,17,77850
47,Male,PhD,Data Scientist,2,82600
35,Female,PhD,Marketing Manager,26,111200
38,Male,PhD,Systems Engineer,17,100060
39,Female,Master's,UX Designer,38,103700
50,Female,Master's,Product Manager,2,62500
41,Male,Master's,Data Analyst,8,68800
48,Female,PhD,HR Specialist,6,86300
39,Female,PhD,Product Manager,9,91250
25,Female,Bachelor's,Software Engineer,1,41200
22,Female,PhD,Systems Engineer,5,85900
22,Female,PhD,Product Manager,39,128750
47,Female,Master's,UX Designer,9,70350
41,Female,Bachelor's,Systems Engineer,14,56520
44,Male,Bachelor's,UX Designer,27,71050
31,Male,Bachelor's,Product Manager,9,51250
32,Female,Master's,Systems Engineer,36,102480
62,Female,Bachelor's,Data Analyst,29,71900
62,Male,Bachelor's,Data Analyst,20,62000
26,Male,Master's,UX Designer,15,77250
22,Male,Bachelor's,UX Designer,36,81400
38,Male,PhD,Data Scientist,3,83900
43,Female,PhD,Data Analyst,23,105300
55,Female,PhD,Data Analyst,9,89900
62,Male,PhD,HR Specialist,30,111500
50,Male,PhD,Project Manager,19,101850
25,Male,PhD,Marketing Manager,38,125600
26,Male,PhD,HR Specialist,3,83150
32,Female,PhD,UX Designer,3,83450
42,Male,PhD,Sales Executive,34,117400
56,Male,Master's,Marketing Manager,2,62400
33,Male,Master's,Sales Executive,27,89700
47,Female,PhD,Software Engineer,23,107600
40,Female,Master's,UX Designer,32,96800
28,Female,Master's,Product Manager,35,103750
28,Male,PhD,Project Manager,18,100700
47,Male,PhD,Sales Executive,27,109700
61,Male,Master's,Marketing Manager,11,73200
26,Female,PhD,UX Designer,39,124850
42,Female,PhD,HR Specialist,19,99950
35,Male,PhD,Data Scientist,25,112500
25,Male,PhD,Systems Engineer,7,88260
44,Female,Master's,Data Analyst,31,94100
63,Male,Bachelor's,Project Manager,2,42300
41,Male,Master's,Project Manager,38,103700
36,Male,Bachelor's,Data Analyst,5,45500
50,Female,Bachelor's,Data Analyst,14,55400
29,Male,Bachelor's,Data Analyst,18,59800
62,Male,Master's,Data Scientist,36,106800
40,Male,Master's,Software Engineer,4,64800
60,Male,Master's,Data Scientist,24,91200
49,Female,Master's,HR Specialist,13,73650
48,Female,Master's,Software Engineer,21,85200
25,Female,Bachelor's,Systems Engineer,33,78940
36,Male,Master's,Data Analyst,20,82000
56,Female,Bachelor's,Data Scientist,5,46500
58,Male,Master's,Product Manager,24,90000
22,Female,Master's,HR Specialist,35,96750
24,Male,PhD,Systems Engineer,30,115400
45,Female,Bachelor's,Systems Engineer,28,73040
48,Female,Master's,Marketing Manager,7,68400
61,Female,Master's,Marketing Manager,35,102000
57,Male,Master's,Systems Engineer,30,95400
55,Male,PhD,Software Engineer,34,120800
50,Male,Bachelor's,UX Designer,39,84850
45,Female,Master's,HR Specialist,9,69450
45,Male,Master's,Marketing Manager,12,74400
63,Male,Master's,Project Manager,29,93350
25,Male,PhD,Data Analyst,10,91000
24,Male,Master's,HR Specialist,27,88350
55,Male,Bachelor's,Systems Engineer,19,62420
44,Male,Bachelor's,Systems Engineer,13,55340
44,Female,Bachelor's,Product Manager,37,86250
26,Female,Bachelor's,UX Designer,32,76800
52,Male,Master's,Data Analyst,15,76500
62,Female,PhD,Project Manager,21,104150
27,Female,PhD,Sales Executive,3,83300
58,Male,PhD,Marketing Manager,8,89600
31,Male,Master's,Product Manager,6,67500
61,Female,PhD,Systems Engineer,29,114220
28,Male,Bachelor's,UX Designer,19,61850
60,Female,Master's,Software Engineer,17,80400
59,Female,PhD,Product Manager,10,92500
42,Female,Bachelor's,UX Designer,33,77950
41,Male,Bachelor's,HR Specialist,13,53650
24,Female,Master's,HR Specialist,27,88350
43,Male,Master's,Data Scientist,12,75600
25,Male,PhD,Product Manager,2,82500
49,Male,PhD,HR Specialist,10,90500
33,Male,PhD,Systems Engineer,21,104780
59,Male,Master's,HR Specialist,23,84150
57,Female,PhD,UX Designer,1,81150
62,Male,PhD,Sales Executive,33,116300
26,Male,Bachelor's,Marketing Manager,26,71200
34,Male,Bachelor's,Systems Engineer,15,57700
44,Male,Bachelor's,Data Analyst,22,64200
51,Male,PhD,UX Designer,25,108750
58,Female,Master's,Sales Executive,1,61100
46,Male,Bachelor's,HR Specialist,26,67300
48,Male,Master's,Project Manager,21,84150
35,Female,PhD,Data Scientist,24,111200
57,Male,PhD,Sales Executive,39,122900
60,Female,Bachelor's,HR Specialist,16,56800
37,Female,Master's,Sales Executive,32,95200
43,Female,Bachelor's,Sales Executive,16,57600
42,Female,PhD,UX Designer,13,94950
42,Male,Master's,Project Manager,32,96800
29,Male,Bachelor's,HR Specialist,24,65200
37,Female,PhD,Project Manager,13,94950
52,Female,Bachelor's,Product Manager,11,53750
63,Male,Master's,UX Designer,15,77250
31,Female,Master's,Marketing Manager,10,72000
53,Female,Master's,Marketing Manager,3,63600
55,Female,Master's,Sales Executive,16,77600
30,Male,Master's,Systems Engineer,17,80060
38,Female,Bachelor's,Data Scientist,25,72500
32,Male,Bachelor's,Product Manager,30,77500
53,Male,Bachelor's,UX Designer,35,80250
31,Male,Bachelor's,Systems Engineer,37,83660
43,Female,PhD,Software Engineer,13,95600
38,Female,PhD,Data Scientist,24,111200
25,Male,Bachelor's,Marketing Manager,38,85600
46,Male,PhD,Marketing Manager,26,111200
42,Male,PhD,Systems Engineer,9,90620
58,Female,Master's,Product Manager,19,83750
59,Female,Bachelor's,Data Scientist,28,76400
22,Male,PhD,Systems Engineer,7,88260
46,Male,PhD,Software Engineer,22,106400
57,Female,Bachelor's,UX Designer,30,74500
38,Male,Master's,Systems Engineer,37,103660
62,Female,Bachelor's,Sales Executive,16,57600
45,Female,Master's,HR Specialist,36,97800
23,Male,PhD,Sales Executive,5,85500
61,Male,Master's,Data Scientist,29,97700
36,Female,Master's,Project Manager,23,86450
53,Female,Bachelor's,Sales Executive,6,46600
60,Female,PhD,HR Specialist,36,117800
27,Female,Bachelor's,Sales Executive,33,76300
22,Female,Bachelor's,Systems Engineer,16,58880
44,Male,PhD,HR Specialist,34,115700
60,Female,Bachelor's,UX Designer,26,69900
38,Female,Bachelor's,Project Manager,37,82550
55,Female,Master's,Systems Engineer,13,75340
62,Male,Bachelor's,Software Engineer,17,60400
50,Male,PhD,Software Engineer,32,118400
30,Female,Bachelor's,Data Scientist,32,81600
34,Female,Master's,Data Analyst,28,90800
27,Male,Bachelor's,Sales Executive,29,71900
27,Male,Bachelor's,HR Specialist,25,66250
41,Male,Bachelor's,Systems Engineer,22,65960
24,Male,Master's,Software Engineer,27,92400
38,Female,PhD,Project Manager,38,123700
33,Male,PhD,Data Analyst,20,102000
22,Female,Master's,Project Manager,24,87600
38,Female,Master's,Sales Executive,8,68800
24,Male,Bachelor's,Product Manager,14,57500
47,Male,PhD,Data Analyst,39,122900
36,Male,Master's,Marketing Manager,14,76800
57,Male,PhD,Product Manager,5,86250
53,Female,Bachelor's,Product Manager,21,66250
53,Female,Master's,Sales Executive,15,76500
25,Female,PhD,Project Manager,36,121400
39,Male,PhD,UX Designer,33,117950
40,Female,Bachelor's,Software Engineer,17,60400
64,Male,Master's,HR Specialist,20,81000
56,Female,PhD,HR Specialist,1,81050
61,Male,Bachelor's,Systems Engineer,16,58880
35,Female,PhD,Systems Engineer,18,101240
54,Female,Bachelor's,Product Manager,10,52500
35,Male,PhD,Product Manager,23,108750
55,Female,PhD,UX Designer,18,100700
25,Female,Bachelor's,Sales Executive,9,49900
45,Male,Master's,Software Engineer,30,96000
50,Male,Bachelor's,HR Specialist,13,53650
40,Male,Master's,UX Designer,31,95650
27,Male,PhD,HR Specialist,13,93650
54,Male,PhD,Marketing Manager,32,118400
61,Female,Bachelor's,Systems Engineer,17,60060
40,Male,Bachelor's,Marketing Manager,3,43600
22,Female,Master's,Software Engineer,1,61200
26,Female,Master's,Software Engineer,5,66000
48,Male,Master's,Sales Executive,32,95200
37,Female,Bachelor's,Data Analyst,25,67500
27,Female,PhD,Product Manager,5,86250
61,Male,Bachelor's,Systems Engineer,37,83660
34,Female,PhD,UX Designer,23,106450
56,Male,Bachelor's,Sales Executive,12,53200
40,Male,Bachelor's,UX Designer,34,79100
33,Male,Master's,Data Analyst,23,85300
37,Female,PhD,Sales Executive,16,97600
64,Female,Bachelor's,Project Manager,5,45750
31,Female,Bachelor's,HR Specialist,28,69400
46,Female,PhD,Product Manager,6,87500
41,Male,Bachelor's,Product Manager,13,56250
52,Female,PhD,Product Manager,30,117500
25,Male,Master's,Marketing Manager,26,91200
44,Female,Master's,Systems Engineer,17,80060
23,Female,PhD,Sales Executive,9,89900
43,Female,Master's,Sales Executive,16,77600
58,Female,PhD,Marketing Manager,18,101600
29,Female,Bachelor's,Software Engineer,13,55600
28,Male,Bachelor's,Systems Engineer,29,74220
35,Female,PhD,Data Analyst,24,106400
24,Female,Bachelor's,Data Analyst,13,54300
37,Female,Master's,Product Manager,25,91250
40,Female,Bachelor's,Sales Executive,1,41100
39,Male,Bachelor's,Data Scientist,9,51700
37,Female,PhD,Software Engineer,4,84800
29,Male,Master's,UX Designer,28,92200
54,Female,Bachelor's,Product Manager,12,55000
33,Male,Bachelor's,Data Analyst,24,66400
32,Male,PhD,Data Analyst,9,89900
26,Male,PhD,Systems Engineer,35,121300
48,Male,Master's,Software Engineer,38,105600
33,Male,Bachelor's,Software Engineer,35,82000
38,Female,PhD,Data Scientist,33,122900
27,Male,PhD,Data Analyst,35,118500
54,Female,PhD,HR Specialist,20,101000
26,Male,Master's,Systems Engineer,2,62360
49,Male,PhD,Sales Executive,26,108600
35,Female,Master's,HR Specialist,13,73650
26,Male,Master's,Project Manager,30,94500
54,Male,Bachelor's,Systems Engineer,32,77760
62,Male,Bachelor's,UX Designer,36,81400
40,Male,Master's,Sales Executive,19,80900
43,Female,Bachelor's,Software Engineer,22,66400
26,Male,Bachelor's,Sales Executive,1,41100
23,Male,PhD,Systems Engineer,11,92980
51,Female,Bachelor's,Data Analyst,26,68600
60,Female,Master's,Project Manager,19,81850
25,Male,Bachelor's,Software Engineer,19,62800
54,Male,PhD,HR Specialist,12,92600
34,Female,Master's,Marketing Manager,3,63600
41,Male,Bachelor's,Project Manager,18,60700
28,Female,Master's,Data Scientist,5,66500
36,Male,Bachelor's,Marketing Manager,24,68800
44,Female,PhD,UX Designer,14,96100
35,Female,Bachelor's,HR Specialist,38,79900
44,Female,Master's,UX Designer,3,63450
40,Male,Master's,Sales Executive,6,66600
50,Male,Master's,Data Analyst,12,73200
41,Male,Bachelor's,Sales Executive,11,52100
50,Male,Bachelor's,Data Analyst,39,82900
45,Female,Bachelor's,Product Manager,26,72500
39,Female,PhD,Product Manager,1,81250
31,Female,PhD,UX Designer,16,98400
62,Male,PhD,Data Scientist,9,91700
29,Male,Master's,UX Designer,5,65750
47,Male,Master's,Product Manager,8,70000
50,Female,Master's,Marketing Manager,21,85200
31,Male,Master's,Marketing Manager,33,99600
38,Male,Master's,Data Scientist,39,110700
23,Female,Bachelor's,Data Scientist,20,66000
27,Female,Master's,Data Scientist,22,88600
26,Male,Bachelor's,UX Designer,13,54950
